time,temperature_2m,relative_humidity_2m,wind_speed_10m,city
2026-08-25T08:00,27.6,59,22.3,Bengaluru
2026-08-25T09:00,27.3,61,20.9,Bengaluru
2026-08-25T10:00,25.8,67,18.0,Bengaluru
2026-08-25T11:00,23.6,77,14.5,Bengaluru
2026-08-25T12:00,22.1,86,12.3,Bengaluru
2026-08-25T13:00,21.7,88,13.0,Bengaluru
2026-08-25T14:00,22.0,87,15.1,Bengaluru
2026-08-25T15:00,22.1,86,16.9,Bengaluru
2026-08-25T16:00,21.7,87,17.4,Bengaluru
2026-08-25T17:00,21.3,89,17.6,Bengaluru
2026-08-25T18:00,20.9,90,17.6,Bengaluru
2026-08-25T19:00,20.9,90,17.4,Bengaluru
2026-08-25T20:00,21.0,89,17.1,Bengaluru
2026-08-25T21:00,21.1,88,17.0,Bengaluru
2026-08-25T22:00,21.0,89,16.8,Bengaluru
2026-08-25T23:00,21.0,91,17.0,Bengaluru
2026-08-26T00:00,21.1,90,17.9,Bengaluru
2026-08-26T01:00,21.5,86,20.3,Bengaluru
2026-08-26T02:00,22.0,82,23.6,Bengaluru
2026-08-26T03:00,22.8,76,25.9,Bengaluru
2026-08-26T04:00,24.0,71,26.1,Bengaluru
2026-08-26T05:00,25.5,65,25.4,Bengaluru
2026-08-26T06:00,26.5,61,24.8,Bengaluru
2026-08-26T07:00,26.3,63,21.3,Bengaluru
2026-08-26T08:00,26.6,62,21.0,Bengaluru
2026-08-26T09:00,26.8,61,20.7,Bengaluru
2026-08-26T10:00,26.9,62,20.1,Bengaluru
2026-08-26T11:00,26.7,63,19.7,Bengaluru
2026-08-26T12:00,26.4,64,19.2,Bengaluru
2026-08-26T13:00,25.8,66,18.7,Bengaluru
2026-08-26T14:00,24.9,70,18.3,Bengaluru
2026-08-26T15:00,23.7,76,17.7,Bengaluru
2026-08-26T16:00,22.6,81,17.0,Bengaluru
2026-08-26T17:00,21.7,86,16.5,Bengaluru
2026-08-26T18:00,21.0,90,16.2,Bengaluru
2026-08-26T19:00,20.6,92,15.8,Bengaluru
2026-08-26T20:00,20.3,94,15.3,Bengaluru
2026-08-26T21:00,20.1,94,14.8,Bengaluru
2026-08-26T22:00,20.2,94,14.6,Bengaluru
2026-08-26T23:00,20.4,92,14.5,Bengaluru
2026-08-20T00:00,22.0,92,10.8,Mysuru
2026-08-20T01:00,22.0,92,11.3,Mysuru
2026-08-20T02:00,23.1,86,12.8,Mysuru
2026-08-20T03:00,24.5,78,13.6,Mysuru
2026-08-20T04:00,26.1,72,12.1,Mysuru
2026-08-20T05:00,27.1,66,14.4,Mysuru
2026-08-20T06:00,27.8,60,14.6,Mysuru
