time,temperature_2m,relative_humidity_2m
2026-08-24T10:00,25.1,76
2026-08-24T11:00,24.7,78
2026-08-24T12:00,24.2,81
2026-08-24T13:00,23.5,84
2026-08-24T14:00,22.7,87
2026-08-24T15:00,22.2,89
2026-08-24T16:00,21.9,90
2026-08-24T17:00,21.9,90
2026-08-24T18:00,21.8,90
2026-08-24T19:00,21.6,91
2026-08-24T20:00,21.4,92
2026-08-24T21:00,21.3,92
2026-08-24T22:00,21.3,92
2026-08-24T23:00,21.5,91
2026-08-25T00:00,21.7,89
2026-08-25T01:00,22.2,86
2026-08-25T02:00,22.7,83
2026-08-25T03:00,23.4,79
2026-08-25T04:00,24.3,75
2026-08-25T05:00,25.3,71
2026-08-25T06:00,26.1,68
2026-08-25T07:00,26.3,68
2026-08-25T08:00,26.3,70
2026-08-25T09:00,26.1,71
2026-08-25T10:00,25.9,71
2026-08-25T11:00,25.5,71
2026-08-25T12:00,25.0,72
2026-08-25T13:00,24.1,76
2026-08-25T14:00,23.0,82
2026-08-25T15:00,22.2,87
2026-08-25T16:00,21.9,89
2026-08-25T17:00,21.9,89
2026-08-25T18:00,21.9,88
2026-08-25T19:00,21.8,89
2026-08-25T20:00,21.8,89
2026-08-25T21:00,21.7,89
2026-08-25T22:00,21.6,90
2026-08-25T23:00,21.4,90
2026-08-26T00:00,21.5,89
2026-08-26T01:00,22.0,87
2026-08-26T02:00,22.7,82
2026-08-26T03:00,23.5,78
2026-08-26T04:00,24.4,74
2026-08-26T05:00,25.5,70
2026-08-26T06:00,26.2,67
2026-08-26T07:00,27.1,64
2026-08-26T08:00,27.2,64
2026-08-26T09:00,27.1,64
2026-08-26T10:00,26.8,65
2026-08-26T11:00,26.5,66
2026-08-26T12:00,26.1,68
2026-08-26T13:00,25.6,70
2026-08-26T14:00,24.8,74
2026-08-26T15:00,23.9,78
2026-08-26T16:00,23.0,82
2026-08-26T17:00,22.3,87
2026-08-26T18:00,21.7,90
2026-08-26T19:00,21.4,91
2026-08-26T20:00,21.1,93
2026-08-26T21:00,21.0,93
2026-08-26T22:00,21.0,93
2026-08-26T23:00,21.2,92
